iter	Passed	Remaining
700	1210	516
701	1210	514
702	1213	512
703	1213	510
704	1215	508
705	1216	506
706	1219	505
707	1221	503
708	1222	501
709	1224	500
710	1226	498
711	1227	496
712	1229	494
713	1231	493
714	1233	491
715	1235	489
716	1237	488
717	1238	486
718	1241	485
719	1244	483
720	1248	483
721	1249	481
722	1262	483
723	1264	482
724	1266	480
725	1268	478
726	1269	476
727	1270	474
728	1272	472
729	1274	471
730	1276	469
731	1277	467
732	1279	466
733	1281	464
734	1283	462
735	1284	460
736	1287	459
737	1288	457
738	1289	455
739	1293	454
740	1295	452
741	1297	451
742	1299	449
743	1301	447
744	1303	446
745	1305	444
746	1307	442
747	1308	440
748	1310	439
749	1311	437
750	1313	435
751	1315	433
752	1316	431
753	1317	429
754	1319	428
755	1321	426
756	1323	424
757	1324	422
758	1327	421
759	1329	419
760	1331	418
761	1334	416
762	1336	415
763	1337	413
764	1339	411
765	1340	409
766	1342	407
767	1344	406
768	1347	404
769	1349	403
770	1351	401
771	1353	399
772	1355	398
773	1364	398
774	1370	397
775	1371	395
776	1372	393
777	1375	392
778	1377	390
779	1378	388
780	1380	387
781	1382	385
782	1383	383
783	1385	381
784	1386	379
785	1387	377
786	1389	376
787	1391	374
788	1393	372
789	1395	370
790	1397	369
791	1399	367
792	1401	365
793	1403	364
794	1404	362
795	1406	360
796	1408	358
797	1410	356
798	1410	354
799	1412	353
800	1414	351
801	1415	349
802	1417	347
803	1419	346
804	1421	344
805	1424	342
806	1426	341
807	1427	339
808	1428	337
809	1431	335
810	1432	333
811	1433	331
812	1433	329
813	1435	327
814	1437	326
815	1438	324
816	1440	322
817	1440	320
818	1442	318
819	1443	316
820	1444	315
821	1446	313
822	1451	312
823	1453	310
824	1455	308
825	1456	306
826	1457	304
827	1459	303
828	1461	301
829	1462	299
830	1464	297
831	1465	295
832	1466	294
833	1468	292
834	1469	290
835	1470	288
836	1472	286
837	1474	285
838	1475	283
839	1477	281
840	1479	279
841	1480	277
842	1481	275
843	1483	274
844	1485	272
845	1487	270
846	1488	268
847	1490	267
848	1492	265
849	1494	263
850	1494	261
851	1497	260
852	1498	258
853	1500	256
854	1503	254
855	1505	253
856	1507	251
857	1508	249
858	1510	247
859	1512	246
860	1513	244
861	1514	242
862	1516	240
863	1517	238
864	1519	237
865	1520	235
866	1522	233
867	1524	231
868	1526	230
869	1527	228
870	1530	226
871	1531	224
872	1533	223
873	1535	221
874	1536	219
875	1538	217
876	1540	216
877	1541	214
878	1543	212
879	1545	210
880	1546	208
881	1548	207
882	1550	205
883	1552	203
884	1553	201
885	1555	200
886	1556	198
887	1557	196
888	1559	194
889	1561	192
890	1563	191
891	1564	189
892	1565	187
893	1568	185
894	1569	184
895	1570	182
896	1573	180
897	1574	178
898	1576	177
899	1578	175
900	1579	173
901	1582	171
902	1583	170
903	1585	168
904	1587	166
905	1588	164
906	1590	163
907	1591	161
908	1592	159
909	1593	157
910	1595	155
911	1597	154
912	1599	152
913	1600	150
914	1601	148
915	1603	147
916	1605	145
917	1606	143
918	1608	141
919	1610	140
920	1611	138
921	1613	136
922	1614	134
923	1616	132
924	1618	131
925	1620	129
926	1621	127
927	1623	125
928	1625	124
929	1627	122
930	1629	120
931	1630	118
932	1632	117
933	1633	115
934	1635	113
935	1637	111
936	1638	110
937	1640	108
938	1642	106
939	1643	104
940	1645	103
941	1646	101
942	1649	99
943	1650	97
944	1653	96
945	1655	94
946	1656	92
947	1657	90
948	1659	89
949	1660	87
950	1661	85
951	1663	83
952	1664	82
953	1676	80
954	1678	79
955	1680	77
956	1681	75
957	1683	73
958	1684	72
959	1687	70
960	1689	68
961	1691	66
962	1693	65
963	1693	63
964	1695	61
965	1697	59
966	1699	57
967	1700	56
968	1702	54
969	1703	52
970	1705	50
971	1706	49
972	1708	47
973	1709	45
974	1711	43
975	1712	42
976	1713	40
977	1715	38
978	1717	36
979	1720	35
980	1722	33
981	1724	31
982	1725	29
983	1727	28
984	1729	26
985	1730	24
986	1732	22
987	1734	21
988	1735	19
989	1738	17
990	1740	15
991	1741	14
992	1744	12
993	1746	10
994	1748	8
995	1750	7
996	1751	5
997	1753	3
998	1754	1
999	1757	0
